medcode	stdterm	attrstring	linkto	comment
602196	 benign adenoma liver 	TTT	17578	
602197	 benign angioma liver 	TTT	17578	
602198	 papilloma gallbladder 	TT	45725	
602199	 adenoma gallbladder 	TT	45725	
602200	 neuroma cystic duct 	TTT	56235	
602201	 cystadenoma pancreas 	TT	15467	
602202	 adenoma pancreas 	TT	15467	
602203	 islet timour / adenoma of langerhans 	TOIOIT	4402	
602204	 syndrome cronkhite canada 	TTT	46711	
602205	 benign neoplasm nose 	TTT	62434	
602206	 leiomyoma larynx 	TT	45153	
602207	 benign neoplasm larynx 	TTT	45153	
602208	 benign neoplasm bronchus 	TTT	36329	
602209	 adenoma bronchus 	TT	36329	
602210	 benign neoplasm lung 	TTT	11871	
602211	 rhabdomyoma myocardial 	TT	29562	
602212	 myxoma atrial 	TT	29562	
602213	 myxoma cardiac 	TT	29562	
602214	 myxoma heart 	TT	29562	
602215	 benign neoplasm cartilage 	TTT	9190	
602216	 benign neoplasm bone / cartilage 	TTOIO	9190	
602217	 benign neoplasm bone 	TTT	9190	
602218	 mandibular osteoma 	TT	2497	
602219	 knobbly heels 	TT	15695	
602220	 neoplasm benign lipoma 	TTT	566	
602221	 neck lipoma recurrence 	TTT	2104	
602222	 neck lipoma 	TT	2104	
602223	 lipoma back 	TT	4007	
602224	 renal lipoma 	TT	16378	
602225	 lipoma spermatic cord 	TTT	30137	
602226	 benign neoplasm connective tissue 	TTTT	31973	
602227	 myoma arm 	TT	48097	
602228	 benign neoplasm abdomen 	TTT	67784	
602229	 fibroblastoma benign 	TT	48150	
602230	 skin neoplasm benign 	TTT	5329	
602231	 acanthoma 	T	5329	
602232	 meningioma skin benign 	TTT	5329	
602233	 leiomyoma cutaneous 	TT	5329	
602234	 skin mole 	TT	581	
602235	 mole skin benign 	TTT	581	
602236	 papilloma skin 	TT	1099	
602237	 syringomata 	T	5186	
602238	 papilloma external auditory meatus 	TTTT	4066	
602239	 umbilical papilloma 	TT	20213	
602240	 papilloma skin anus 	TTT	20262	
602241	 foot fibroma 	TT	27288	
602242	 naevus benign melanoma skin 	TTTT	1199	
602243	 duct papilloma breast 	TTT	5411	
602244	 tumour breast benign 	TTT	5411	
602245	 adenoma breast 	TT	5411	
602246	 fibroadenoma breast 	TT	1098	
602247	 polyp fibroid 	TT	759	
602248	 uterus fibroid 	TT	759	
602249	 leiomyoma uterus 	TT	759	
602250	 myoma uterus fibroid 	TTT	759	
602251	 fundal fibroid 	TT	759	
602252	 fibroid 	T	432	
602253	 pedunculated fibroid 	TT	3402	
602254	 fibroma uterus 	TT	14960	
602255	 uterus benign neoplasm 	TTT	14960	
602256	 papilloma uterus 	TT	14960	
602257	 acanthoma benign uterus 	TTT	14960	
602258	 adenoma uterus 	TT	14960	
602259	 neoplasm benign uterus cervix 	TTTT	36293	
602260	 neoplasm benign uterus body / corpus 	TTTOIO	62383	
602261	 ovary benign neoplasm 	TTT	18639	
602262	 fibroma fallopian tube 	TTT	29583	
602263	 vaginal fibroma 	TT	21202	
602264	 cyst pelvis female 	TTT	16303	
602265	 benign neoplasm female genital 	TTTT	16303	
602266	 cyst female genital organs 	TTTT	16303	
602267	 fibroma testis 	TT	24885	
602268	 fibroma tunica albuginea 	TTT	24885	
602269	 benign neoplasm prostate 	TTT	30073	
602270	 epididymis benign tumour 	TTT	29725	
602271	 scrotum papilloma 	TT	2959	
602272	 myoma seminal vesicles 	TTT	65896	
602273	 adenomatoid tumour male genital tract 	TTTTT	20041	
602274	 fibroma renal capsule 	TTT	50498	
602275	 nephroma multilocular cystic 	TTT	20050	
602276	 hamartoma kidney 	TT	20050	
602277	 glomerular adenomatosis 	TT	20050	
602278	 benign neoplasm kidney 	TTT	20050	
602279	 haemangioma kidney 	TT	20050	
602280	 adenoma renal cortex 	TTT	20050	
602281	 bladder benign neoplasm 	TTT	25217	
602282	 benign neoplasm eye 	TTT	40562	
602283	 brain neoplasm benign 	TTT	11678	
602284	 neuroma acoustic nerve 	TTT	6174	
602285	 meningioma brain benign 	TTT	8672	
602286	 benign neoplasm spinal cord 	TTTT	31391	
602287	 meningioma spinal cord benign 	TTTT	31391	
602288	 neuroma morton 	TT	3743	
602289	 neuroma digital 	TT	3743	
602290	 interdigital neuroma 	TT	3743	
602291	 neuroma interdigital 	TT	3743	
602292	 thyroid adenoma 	TT	2610	
602293	 parathyroid adenoma 	TT	15751	
602294	 tumour pituitary 	TT	5706	
602295	 pituitary chromophobe adenoma 	TTT	2321	
602296	 naevus cavernous 	TT	16337	
602297	 haemangioma benign 	TT	679	
602298	 benign angioma 	TT	679	
602299	 haemangioma cavernous 	TT	679	
602300	 neoplasm benign haemangioma 	TTT	679	
602301	 tumour glomus 	TT	15169	
602302	 haemangioma skin 	TT	1165	
602303	 cheek angioma 	TT	1165	
602304	 lip angioma 	TT	1165	
602305	 angioma nose 	TT	1165	
602306	 angioma cerebral 	TT	5100	
602307	 lymphangioma simple 	TT	3692	
602308	 lymphangioma benign 	TT	3692	
602309	 neoplasm benign lyphangioma 	TTT	3692	
602310	 lymphangioma cystic 	TT	3692	
602311	 lymphangioma cavernous 	TT	3692	
602312	 lymphangioma capillary 	TT	3692	
602313	 benign neoplasm ankle 	TTT	43835	
602314	 intra epithelial neoplasm 	TTT	7473	
602315	 intra epithelial carcinoma 	TTT	7473	
602316	 dermatosis bowen 	TT	2467	
602317	 leg bowen disease 	TTT	708	
602318	 cervix carcinoma in situ 	TTIT	3279	
602319	 neoplasm intra epithelial cervical 	TTTT	5295	
602320	 vaginal erythroplasia 	TT	3281	
602321	 queyrat erythroplasia penis 	TTT	27311	
602322	 bowen disease penis 	TTT	27311	
602323	 tumour mixed parotid 	TTT	5116	
602324	 tumour rectal 	TT	16036	
602325	 tumour lung 	TT	3915	
602326	 papilloma cervix 	TT	16400	
602327	 chorionepithelioma 	T	5136	
602328	 teratoma ovary 	TT	1918	
602329	 ovarian tumour 	TT	1918	
602330	 transitional cell papilloma bladder 	TTTT	9907	
602331	 tumour juxtaglomerular cell 	TTT	18749	
602332	 papilloma renal pelvis 	TTT	18749	
602333	 papilloma ureter 	TT	35643	
602334	 pituitary fossa mass 	TTT	42685	
602335	 recklinghausen neurofibromatosis 	TT	16854	
602336	 von recklinghausen disease nerve 	TTTT	16854	
602337	 recklinghausen disease nerve 	TTT	16854	
602338	 primary polycythaemia 	TT	2481	
602339	 vaquez disease 	TT	2481	
602340	 systemic mastocytosis 	TT	4661	
602341	 mastocytoma 	T	4661	
602342	 plasmacytoma 	T	38321	
602343	 neoplasm undiagnosed 	TT	14825	
602344	 cerebral neoplasm 	TT	1044	
602345	 brain tumour 	TT	1044	
602346	 tumour necrotic 	TT	15543	
602347	 metastasis 	T	3197	
602348	 papilloma 	T	222	
602349	 squamous epithelioma hyperplasia 	TTT	155	
602350	 squamous papilloma 	TT	155	
602351	 benign papillomatosis 	TT	8196	
602352	 squamous cell carcinoma skin 	TTTT	1624	
602353	 squamous cell carcinoma 	TTT	1624	
602354	 transitional cell papilloma 	TTT	41726	
602355	 papilloma bladder 	TT	1904	
602356	 adenocarcinoma 	T	2272	
602357	 adenoma 	T	1799	
602358	 benign cholangioma 	TT	17979	
602359	 cholangio carcinoma 	TT	8711	
602360	 malignant cholangioma 	TT	8711	
602361	 malignant neoplasm hepatocellular 	TTT	40240	
602362	 hepatoma 	T	20234	
602363	 cylindroma 	T	5265	
602364	 polyp 	T	452	
602365	 polyposis 	T	2721	
602366	 carcinoid stomach 	TT	3923	
602367	 carcinoid duodenum 	TT	3923	
602368	 carcinoid appendix 	TT	3923	
602369	 carcinoid gastrointestinal tract 	TTT	3923	
602370	 villous adenoma 	TT	3935	
602371	 microprolactinoma 	T	5707	
602372	 paget disease nipple 	TTT	12300	
602373	 chordocarcinoma 	T	21758	
602374	 chordosarcoma 	T	21758	
602375	 chordoblastoma 	T	21758	
602376	 chordoepithelioma 	T	21758	
602377	 notochordoma 	T	21758	
602378	 chordoid tumour 	TT	21758	
602379	 glioma benign 	TT	12309	
602380	 glioma 	T	8523	
602381	 lymphadenoma 	T	3710	
602382	 ependymoma 	T	20084	
602383	 astrocytoma 	T	8547	
602384	 oligodendroglioma 	T	27744	
602385	 medulloblastoma brain 	TT	34763	
602386	 ganglioneuroma benign 	TT	34713	
602387	 malignant ganglioneuroma 	TT	34713	
602388	 neuroblastoma disseminated 	TT	2123	
602389	 neuroblastoma 	T	2123	
602390	 retinoblastoma 	T	28836	
602391	 tumour testis sertoli cell 	TTTT	29580	
602392	 meningioma 	T	2843	
602393	 meningioma diffuse 	TT	2843	
602394	 fibroblastoma meningeal 	TT	38295	
602395	 neurofibroma 	T	3023	
602396	 naevus melanocytic benign 	TTT	3659	
602397	 mole hairy 	TT	3659	
602398	 naevus pigmented prepubertal 	TTT	3659	
602399	 naevus pigmented vulva 	TTT	3659	
602400	 naevus melanocytic 	TT	3659	
602401	 naevus leukoderma 	TT	832	
602402	 naevus acneiformis unilateralis 	TTT	832	
602403	 naevus 	T	832	
602404	 naevus spilus 	TT	832	
602405	 naevus avasculosus 	TT	832	
602406	 neurofibromatosis malignant 	TT	765	
602407	 neurofibromatosis 	T	765	
602408	 melanoma malignant 	TT	579	
602409	 naevus halo 	TT	4776	
602410	 neuroma 	T	2296	
602411	 naevus nonpigmented 	TT	4209	
602412	 naevus amelanotic 	TT	4209	
602413	 naevus junctional 	TT	3564	
602414	 naevus intradermal 	TT	931	
602415	 naevus compound 	TT	1732	
602416	 melanoma juvenile 	TT	4871	
602417	 naevus blue 	TT	4716	
602418	 sarcoma 	T	8085	
602419	 lymphoma benign 	TT	49131	
602420	 fibroma 	T	2507	
602421	 benign fibroma 	TT	2507	
602422	 fibroblastoma 	T	2507	
602423	 malignant fibroblastoma 	TT	31323	
602424	 fibrosarcoma 	T	31323	
602425	 lymphoma 	T	1483	
602426	 lymphoma non hodgkins 	TTT	1483	
602427	 tumour desmoid 	TT	46243	
602428	 histiocytoma 	T	3348	
602429	 liposarcoma 	T	28599	
602430	 rhabdomyosarcoma buttock 	TT	31421	
602431	 rhabdomyosarcoma 	T	31421	
602432	 nodular renal blastoma 	TTT	54594	
602433	 nephroblastoma 	T	21681	
602434	 wilm tumour 	TT	17314	
602435	 fibroadenoma benign 	TT	1722	
602436	 myeloblastosis with refractory anaemia 	TITT	60186	
602437	 myeloma 	T	3672	
602438	 myeloma benign 	TT	44207	
602439	 synovioma 	T	17409	
602440	 teratoma 	T	17435	
602441	 malignant teratoma 	TT	33636	
602442	 aleukaemic leukaemia 	TT	72310	
602443	 leukaemic erythrodermia 	TT	46444	
602444	 leukaemia myelomonocytic acute 	TTT	46263	
602445	 megakaryocytic leukaemia acute 	TTT	49327	
602446	 myeloproliferative disease chronic 	TTT	17091	
602447	 angiofibroma 	T	5430	
602448	 malignant lymphangioma 	TT	57729	
602449	 sarcoma osteogenic 	TT	5052	
602450	 chondrosarcoma 	T	4118	
602451	 osteochondromatosis 	T	16204	
602452	 ewing tumour 	TT	4473	
602453	 endothelioma 	T	49023	
602454	 odontoma 	T	44210	
602455	 acanthoameloblastoma 	T	40467	
602456	 adamantinoma 	T	63171	
602457	 thyroid disease 	TT	1882	
602458	 goitre nonendemic / sporadic 	TOIO	2518	
602459	 thyroid enlargement diffuse 	TTT	2518	
602460	 goitre nonmalignant 	TT	2518	
602461	 goitre endemic 	TT	2518	
602462	 goitre substernal 	TT	3655	
602463	 goitre retrosternal 	TT	3655	
602464	 goitre colloid 	TT	4212	
602465	 lymphadenoid goitre 	TT	7911	
602466	 multinodular goitre 	TT	1348	
602467	 nodular goitre 	TT	1348	
602468	 thyrotoxicosis with goitre 	TIT	10760	
602469	 goitre toxic diffuse 	TTT	23315	
602470	 grave disease 	TT	5257	
602471	 adenoma thyroid with thyrotoxicosis 	TTIT	15790	
602472	 adenoma thyroid with hyperthyroidism 	TTIT	15790	
602473	 toxic nodular goitre 	TTT	15790	
602474	 adenoma thyroid toxic 	TTT	15790	
602475	 thyrotoxicosis without goitre 	TIF	15565	
602476	 thyrotoxic crisis / storm 	TOIO	3194	
602477	 hypothyroidism congenital 	TT	10097	
602478	 hypothyroidism acquired 	TT	3290	
602479	 absence thyroid gland acquired 	TTTT	3290	
602480	 premyxoedema 	T	3941	
602481	 syndrome hoffmann 	TT	3941	
602482	 pretibial myxoedema 	TT	20310	
602483	 thyroiditis acute 	TT	4898	
602484	 abscess thyroid gland 	TTT	29296	
602485	 thyroiditis autoimmune 	TT	3857	
602486	 riedel struma 	TT	53667	
602487	 abnormal thyroid product 	TTT	19362	
602488	 thyroid cyst adenomatous 	TTT	2338	
602489	 endocrine disorder 	TT	15226	
602490	 disease endocrine system 	TTT	15226	
602491	 endocrine disturbance 	TT	15226	
602492	 diabetes 	T	711	
602493	 sugar diabetes 	TT	711	
602494	 diabetes mellitus insulin dependant 	TTTT	1038	
602495	 maturity onset diabetes mellitus insulin 	TTTTT	14889	
602496	 maturity onset diabetes mellitus 	TTTT	14889	
602497	 niddm non insulin dependent diabetes 	TTTTT	506	
602498	 precoma diabetic 	TT	1682	
602499	 ketosis diabetic 	TT	1682	
602500	 diabetic acetonaemia 	TT	1682	
602501	 diabetic acidosis 	TT	1682	
602502	 ketoacidosis diabetic 	TT	1682	
602503	 hyperosmolar diabetic state 	TTT	21482	
602504	 kussmaul coma 	TT	15690	
602505	 coma diabetic 	TT	15690	
602506	 diabetic diarrhoea 	TT	16230	
602507	 gangrene diabetic 	TT	32403	
602508	 maturity onset diabetes mellitus non in 	TTTTTI	4513	
602509	 abscess diabetic 	TT	33343	
602510	 hypoglycaemic coma diabetic 	TTT	2472	
602511	 hypoglycaemia in diabetes mellitus 	TITT	2472	
602512	 hyperinsulinism 	T	27304	
602513	 sugar blood low 	TTT	1410	
602514	 reactionary hypoglycaemia 	TT	4563	
602515	 iatrogenic diabetes mellitus 	TTT	32193	
602516	 fibrocystic disease bone 	TTT	49456	
602517	 von recklinghausen disease bone 	TTTT	4116	
602518	 primary parathyroidism 	TT	18740	
602519	 tetany postoperative 	TT	15982	
602520	 parathyroid cyst 	TT	15458	
602521	 pituitary hyperfunction 	TT	24418	
602522	 tall stature 	TT	8129	
602523	 pituitary hyperfunction anterior 	TTT	23560	
602524	 pituitary hypofunction 	TT	5026	
602525	 simmonds disease 	TT	21116	
602526	 growth hormone deficiency 	TTT	1048	
602527	 syndrome kallmanns 	TT	9895	
602528	 pituitary hypofunction anterior 	TTT	9895	
602529	 deficiency gonadotrophin 	TT	15488	
602530	 inappropriate adh secretion 	TTT	8389	
602531	 cyst pituitary duct / gland 	TTOIO	44186	
602532	 abscess pituitary gland 	TTT	53993	
602533	 thymus gland disease 	TTT	57165	
602534	 abscess thymus gland 	TTT	61303	
602535	 cyst thymus gland 	TTT	43562	
602536	 abnormal metabolism steroid 	TTT	12876	
602537	 hyperfunction adrenal cortical 	TTT	17604	
602538	 weight gain on steroids 	TTIT	20275	
602539	 syndrome bartter 	TT	47778	
602540	 aldosteronism primary 	TT	29028	
602541	 syndrome conn 	TT	21181	
602542	 syndrome adrenogenital congenital 	TTT	29640	
602543	 hydroxylase deficiency congenital 	TTT	29640	
602544	 syndrome adrenogenital 	TT	31446	
602545	 insufficiency adrenal 	TT	3113	
602546	 insufficiency cortico adrenal 	TTT	3113	
602547	 atrophy adrenal capsule / gland 	TTOIO	3113	
602548	 transient adrenal failure 	TTT	3113	
602549	 crisis addisonian 	TT	4042	
602550	 absence adrenal gland acquired 	TTTT	54838	
602551	 abscess suprarenal capsule / gland 	TTOIO	44418	
602552	 cyst adrenal gland 	TTT	41542	
602553	 hypogonadism female 	TT	3686	
602554	 ovarian failure 	TT	3686	
602555	 posthysterectomy imbalance 	TT	15992	
602556	 syndrome posthysterectomy 	TT	15992	
602557	 syndrome postoophorectomy 	TT	2087	
602558	 premature menopause 	TT	2087	
602559	 syndrome stein leventhal 	TTT	16103	
602560	 testis hypofunction 	TT	16341	
602561	 hypogonadism primary testicular 	TTT	9577	
602562	 hypogonadism male 	TT	9577	
602563	 testis feminization syndrome 	TTT	30535	
602564	 polyendocrine adenomatosis 	TT	49195	
602565	 precocity sexual 	TT	23522	
602566	 puberty premature 	TT	5730	
602567	 heart disease carcinoid 	TTT	10551	
602568	 carcinoid 	T	10551	
602569	 syndrome carcinoid 	TT	10551	
602570	 puberty abnormal 	TT	17018	
602571	 gigantism cerebral 	TT	44476	
602572	 imbalance hormonal 	TT	29365	
602573	 nutritional disorder 	TT	1473	
602574	 insufficiency dietary baby 	TTT	1473	
602575	 insufficiency dietary 	TT	1473	
602576	 nutrition poor 	TT	1473	
602577	 protein malnutrition 	TT	35737	
602578	 emaciation 	T	5247	
602579	 cachexia due malnutrition 	TIT	5247	
602580	 marasmus due malnutrition 	TIT	5247	
602581	 malnutrition baby 	TT	8869	
602582	 deficiency aneurin 	TT	20191	
602583	 deficiency thiamine 	TT	20191	
602584	 nicotinic acid amide deficiency 	TTTT	31444	
602585	 perleche riboflavine deficiency 	TTT	33375	
602586	 stomatitis vitamin b 2 deficiency 	TTTTT	24059	
602587	 pyridoxine deficiency 	TT	48023	
602588	 syndrome burning feet 	TTT	16745	
602589	 rickets active 	TT	31367	
602590	 rickets late effect 	TTT	61243	
602591	 deformity spine rachitic 	TTT	61243	
602592	 softening bone 	TT	37350	
602593	 deficiency pantothenic acid 	TTT	67305	
602594	 hypocalcaemia dietary 	TT	15273	
602595	 poorly nourished 	TT	23500	
602596	 metabolic disorder congenital 	TTT	13257	
602597	 congenital disorder amino acid metabolis 	TTTTT	31424	
602598	 deficiency amino acid 	TTT	31424	
602599	 organic aciduria 	TT	31424	
602600	 syndrome blue diaper 	TTT	31424	
602601	 amino aciduria 	TT	31424	
602602	 cystinosis intermediate 	TT	32464	
602603	 cystinosis benign 	TT	32464	
602604	 cystinosis nephrogenic 	TT	32464	
602605	 cystinuria type i 	TTT	27435	
602606	 cystinuria type iii 	TTT	27435	
602607	 cystinuria type ii 	TTT	27435	
602608	 lignac de toni fanconi debre syndrome 	TTTTTT	23515	
602609	 syndrome luder sheldon 	TTT	23515	
602610	 syndrome fanconi childhood type 	TTTT	23515	
602611	 syndrome fanconi adult type 	TTTT	23515	
602612	 debre de toni fanconi syndrome 	TTTTT	23515	
602613	 syndrome fanconi 	TT	23515	
602614	 debre de toni fanconi syndrome childho 	TTTTTT	23515	
602615	 lignac disease / syndrome 	TOIO	23515	
602616	 syndrome de toni debre fanconi adult 	TTTTTT	23515	
602617	 hartnup disorder / disease 	TOIO	49217	
602618	 glycinuria renal de vries type 	TTTTT	46357	
602619	 iminoglycinuria familial renal 	TTT	46357	
602620	 proline hydroxyproline glycinuria 	TTT	46357	
602621	 glycinuria renal kaiser type 	TTTT	46357	
602622	 pku phenylketonuria 	TT	4318	
602623	 congenital achromia 	TT	43145	
602624	 osteoarthrosis deformans alkaptonurica 	TTT	19490	
602625	 tyrosinaemia hereditary 	TT	45295	
602626	 syndrome lowe 	TT	47768	
602627	 wardenburg klein syndrome 	TTT	30930	
602628	 tryptophan malabsorption 	TT	30930	
602629	 ketonuria intermittent branched chain 	TTTT	53434	
602630	 ketoaciduria branched chain 	TTT	53434	
602631	 syndrome methionine malabsorption 	TTT	50944	
602632	 acidaemia argininosuccinic 	TT	66155	
602633	 andersen glycogen storage disease 	TTTT	31383	
602634	 glycogenosis cardiac 	TT	31383	
602635	 glycogen storage disease subtype iib 	TTTTT	31383	
602636	 glycogenic diffuse cardiomegaly 	TTT	31383	
602637	 amylopectinosis brancher enzyme defici 	TTTT	94250	
602638	 galactosemia 	T	5561	
602639	 fructosuria 	T	31384	
602640	 milk intolerance 	TT	1302	
602641	 intolerance lactose 	TT	3079	
602642	 alactasia hereditary 	TT	3079	
602643	 absorption lactose defect 	TTT	3079	
602644	 sucrase deficiency 	TT	36042	
602645	 intolerance to glucose 	TIT	3505	
602646	 renal threshold low 	TTT	14980	
602647	 glycosuria renal 	TT	14980	
602648	 hyperoxaluria primary type i 	TTTT	35649	
602649	 hyperoxaluria primary 	TT	35649	
602650	 oxaluria congenital 	TT	35649	
602651	 hyperoxaluria primary type ii 	TTTT	35649	
602652	 formiminotransferase deficiency 	TT	69097	
602653	 aciduria glycolic 	TT	69097	
602654	 congenital disorder carbohydrate metabol 	TTTT	39642	
602655	 lipid metabolism congenital disorder 	TTTT	13228	
602656	 fat metabolism abnormal 	TTT	13228	
602657	 hyperlipoproteinaemic cardiovascular dis 	TTT	13228	
602658	 dyslipidosis 	T	13228	
602659	 hypercholesterolaemia 	T	339	
602660	 hypertriglyceridaemia 	T	1173	
602661	 xanthoma cutaneous 	TT	4833	
602662	 hyperlipaemia 	T	637	
602663	 hyperlipoproteinaemia 	T	637	
602664	 hyperlipidosis 	T	637	
602665	 hyperlipidaemia 	T	637	
602666	 lipoprotein disorder 	TT	16306	
602667	 deficiency lipoprotein familial 	TTT	16306	
602668	 abetalipoproteinaemia 	T	16290	
602669	 acanthocytosis 	T	16290	
602670	 hypolipidaemia 	T	1983	
602671	 hypocholesterolaemia 	T	1983	
602672	 renal involvement fabry disease 	TTTT	35717	
602673	 lipomatosis 	T	5396	
602674	 disease dercum 	TT	16534	
602675	 adiposa dolorosa 	TT	16534	
602676	 antitrypsin deficiency 	TT	4090	
602677	 deficiency antirypsin 	TT	4090	
602678	 heavy chain disease igg type 	TTTTT	15883	
602679	 monoclonal gammopathy benign 	TTT	15883	
602680	 heavy chain disease iga type 	TTTTT	15883	
602681	 heavy chain disease 	TTT	15883	
602682	 gammopathy benign 	TT	7586	
602683	 paraproteinaemia 	T	3451	
602684	 cryoglobulinaemia 	T	3451	
602685	 franklin disease 	TT	12386	
602686	 macroglobulinaemia primary 	TT	16527	
602687	 waldenstrom disease 	TT	10411	
602688	 analbuminaemia 	T	46406	
602689	 dysproteinemia 	T	46406	
602690	 abnormal protein metabolism 	TTT	73343	
602691	 gout acute 	TT	709	
602692	 nephropathy urate acute 	TTT	52969	
602693	 nephropathy gouty 	TT	52969	
602694	 gouty eczema 	TT	28999	
602695	 tophi gouty 	TT	4440	
602696	 haemochromatosis idiopathic 	TT	2983	
602697	 iron storage disease 	TTT	2983	
602698	 diabetes bronze haemochromatosis 	TTT	23479	
602699	 haemosiderosis 	T	24532	
602700	 hepatolenticular degeneration 	TT	6073	
602701	 phosphaturia renal 	TT	36604	
602702	 hypophosphataemia and familial vitamin d 	TITTT	33347	
602703	 hypophosphataemia familial 	TT	33347	
602704	 phosphaturia 	T	1096	
602705	 hypocalcaemia 	T	5232	
602706	 hypercalcaemia 	T	2900	
602707	 idiopathic hypercalciuria 	TT	4819	
602708	 syndrome bicarbonate deficit 	TTT	4814	
602709	 intoxication acid acidosis 	TTT	4814	
602710	 acidaemia 	T	4814	
602711	 metabolic acidosis 	TT	27369	
602712	 alkalaemia 	T	31271	
602713	 syndrome hypochloraemic alkalosis diarrh 	TTTT	31838	
602714	 hypovolemia 	T	11526	
602715	 syndrome infantile dehydration 	TTT	1046	
602716	 dehydration 	T	1046	
602717	 retention fluid 	TT	1456	
602718	 imbalance fluid 	TT	1456	
602719	 water retention 	TT	1456	
602720	 potassium deficiency 	TT	3168	
602721	 syndrome liddle 	TT	47369	
602722	 fibrocystic disease pancreas 	TTT	6220	
602723	 congenital exocrine pancreas hypoplasia 	TTTT	6220	
602724	 fibrosis cystic 	TT	6220	
602725	 fibrocystic disease lung 	TTT	6220	
602726	 porphyria secondary / acquired 	TOIT	16157	
602727	 porphyria 	T	16157	
602728	 porphyria congenital 	TT	23337	
602729	 erythropoietic porphyria 	TT	32248	
602730	 porphyria due medicinal drug 	TITT	43743	
602731	 porphyria associated with drug addiction 	TTITT	43743	
602732	 peritonitis periodic 	TT	5554	
602733	 periodic fever amyloidosis 	TTT	35061	
602734	 fever mediterranean familial 	TTT	35061	
602735	 amyloidosis familial with febrile urtica 	TTITT	20339	
602736	 congenital defect bilirubin excretion 	TTTT	23959	
602737	 syndrome criggler najjar 	TTT	46738	
602738	 syndrome dubin johnson 	TTT	39293	
602739	 syndrome gilbert 	TT	3638	
602740	 syndrome rotor 	TT	46507	
602741	 congenital hyperbilirubinaemia 	TT	4373	
602742	 lipochonrodystrophy 	T	34624	
602743	 syndrome hurler 	TT	33390	
602744	 mucopolysaccharidosis ii 	TT	61650	
602745	 syndrome hunter 	TT	16443	
602746	 syndrome morquio ullrich 	TTT	58584	
602747	 hereditary angioedema 	TT	18486	
602748	 c 1 esterase inhibitor deficiency 	TTTTT	18486	
602749	 low level cholinesterase deficiency 	TTTT	27359	
602750	 eosinophilic granuloma bone 	TTT	3845	
602751	 eosinophilic granuloma stomach 	TTT	3845	
602752	 fat excessive 	TT	430	
602753	 obesity genetic 	TT	430	
602754	 double chin 	TT	430	
602755	 obese 	T	430	
602756	 excessive carotin dietary 	TTT	22502	
602757	 overfed 	T	3477	
602758	 syndrome obesity hypoventilation 	TTT	38294	
602759	 syndrome cardiopulmonary obesity 	TTT	38294	
602760	 syndrome pickwick 	TT	38294	
602761	 immune disorder 	TT	12717	
602762	 syndrome gordon 	TT	44147	
602763	 agammaglobulinaemia infantile 	TT	35682	
602764	 agammaglobulinaemia swiss type 	TTT	35682	
602765	 hypogammaglobulinaemia 	T	15137	
602766	 deficiency antibodies 	TT	16295	
602767	 syndrome aldrich wiskott 	TTT	31322	
602768	 syndrome aldrich 	TT	31322	
602769	 immuno deficiency 	TT	3129	
602770	 metabolism abnormal 	TT	3606	
602771	 abnormal metabolism 	TT	3606	
602772	 disorder blood 	TT	13235	
602773	 deficiency anaemia 	TT	7841	
602774	 nutritional anaemia 	TT	7841	
602775	 iron deficiency anaemia 	TTT	795	
602776	 green sickness 	TT	795	
602777	 hypochromic anaemia 	TT	882	
602778	 anaemia microcytic 	TT	539	
602779	 syndrome kelly patterson 	TTT	31347	
602780	 syndrome brown patterson kelly 	TTTT	31347	
602781	 syndrome plummer vinson 	TTT	20123	
602782	 sideropaenic dysphagia 	TT	55478	
602783	 anaemia achlorhydric 	TT	19951	
602784	 megaloblastosis 	T	4475	
602785	 nutritional megalblastic anaemia 	TTT	4475	
602786	 anaemia addison 	TT	2813	
602787	 biermer anaemia 	TT	55370	
602788	 b 12 deficiency anaemia 	TTTT	5271	
602789	 deficiency b 12 secondary 	TTTT	31270	
602790	 folate deficiency secondary 	TTT	4080	
602791	 anaemia megaloblastic due anticonvulsant 	TTIT	37082	
602792	 orotic aciduria anaemia 	TTT	64601	
602793	 haemolytic anaemia acute 	TTT	3326	
602794	 jaundice haemolytic 	TT	3326	
602795	 jaundice acholuric acquired 	TTT	3326	
602796	 abrami disease 	TT	3326	
602797	 haemolytic anaemia 	TT	3326	
602798	 anaemia spherocytosis hereditary 	TTT	7237	
602799	 spherocytosis 	T	7237	
602800	 anaemia spherocytosis congenital 	TTT	7237	
602801	 jaundice familial / congenital acholuric 	TOIOT	39682	
602802	 jaundice idiopathic dyserythropoietic 	TTT	39682	
602803	 anaemia elliptocytosis hereditary 	TTT	31107	
602804	 elliptocytosis familial 	TT	31107	
602805	 glucose 6 phosphate dehydrogenase defici 	TTTTT	22531	
602806	 poisoning fava bean 	TTT	44381	
602807	 anaemia pyruvate kinase deficiency 	TTTT	55561	
602808	 thalassaemia intermedia 	TT	1171	
602809	 anaemia microcytic familial 	TTT	1171	
602810	 thalassaemia homozygous 	TT	31405	
602811	 thalassaemia major 	TT	31405	
602812	 cooley anaemia 	TT	45151	
602813	 thalassaemia heterozygous 	TT	1174	
602814	 thalassaemia trait 	TT	1174	
602815	 thalassaemia minor 	TT	1174	
602816	 sickle cell disease / trait / anaemia 	TTOIOIO	3616	
602817	 anaemia sickle cell 	TTT	23519	
602818	 drepanocytic anaemia 	TT	23519	
602819	 nephropathy sickle cell 	TTT	23519	
