text	read	priority	comment
ipj	interphalangeal joint	3	
irregular	erratic	4	
irritable bowel syndrome	ibs	4	
ischaemic heart disease	i h d	4	
ischaemic heart disease	ihd	4	
itp	idiopathic thrombocytopenic purpura	4	
itu	intensive care unit	5	
itu	intensive therapy unit	5	
iugr	intra uterine growth retardation	4	
jejunal	jejunum	5	
jejunum	jejunal	5	
jogging	moderate exertion	2	
joint position sense	proprioception	5	
joint posn sense	proprioception	5	
just come out	recently in	1	
just come out of	recently in	2	
just discharged	recently in hospital	2	
keratinising	keratinizing	5	
keratinizing	keratinising	5	
keratoacanthoma	keratoakanthoma	5	
keratoakanthoma	keratoacanthoma	5	
kidney	renal	4	
kidney and ureter	renal tract	3	
kidney or ureter	renal tract	3	
knee	knee joint	5	
knee	leg	1	
knee	lower limb	1	
knee joint	knee	5	
knows	aware of	5	
l	left	3	
l 1	first lumbar	5	
l 1 / 2	lumbar	3	
l 1 l 2	lumbar	3	
l 2	second lumbar	5	
l 2 / 3	lumbar	3	
l 2 l 3	lumbar	3	
l 3	third lumbar	5	
l 3 / 4	lumbar	3	
l 3 l 4	lumbar	3	
l 4	fourth lumbar	5	
l 4 / 5	lumbar	3	
l 4 l 5	lumbar	3	
l 5	fifth lumbar	5	
l 5 / s 1	lumbar	2	
l 5 s 1	lumbar	2	
l 5 s 1	lumbosacral	3	
l a d	left anterior descending	4	
l a f b	left anterior fascicular block	4	
l b b b	left bundle branch block	4	
l coronary	left coronary	5	
l coronary	left coronary artery	3	
l h	luteinising hormone	4	
l m n	lower motor neuron	5	
l m n	lower motor neurone	5	
l m s	left main stem	4	
l main stem	left main stem	5	
l n	lymph node	4	
l n	lymph nodes	4	
l o c	loss of consciousness	4	
l p f b	left posterior fascicular block	4	
l r t i	lower respiratory tract infection	4	
l s c s	lower segment caesarean section	5	
l v d	left ventricular dysfunction	4	
l v f	left ventricular failure	4	
lack	no	3	
lack of	absent	3	
lad	left anterior descending	4	
lafb	left anterior fascicular block	4	
large bowel	colon	3	
lat	lateral	4	
lateral	lat	4	
lateral	medial	-100	
lbbb	left bbb	4	
lbbb	left bundle branch block	4	
left	l	3	
left	left side	4	
left	left sided	4	
left	lt	3	
left	right	-100	
left	rt	-100	
left anterior descending	l a d	4	
left anterior descending	lad	4	
left anterior descending disease	left anterior descending stenosis	5	
left anterior descending stenosis	left anterior descending disease	5	
left anterior fascicular block	l a f b	4	
left anterior fascicular block	lafb	4	
left anterior hemi block	left bundle branch hemiblock	3	
left bbb	lbbb	4	
left bundle branch block	l b b b	4	
left bundle branch block	lbbb	4	
left circumflex coronary artery	circumflex	5	
left coronary	l coronary	5	
left coronary artery disease	left coronary artery stenosis	5	
left coronary artery stenosis	left coronary artery disease	5	
left main disease	left main stem disease	5	
left main stem	l m s	4	
left main stem	l main stem	5	
left main stem	lms	4	
left main stem disease	left main disease	5	
left main stem disease	left main stem stenosis	5	
left main stem disease	left main stenosis	5	
left main stem stenosis	left main stem disease	5	
left main stenosis	left main stem disease	5	
left posterior fascicular block	l p f b	4	
left posterior fascicular block	lpfb	4	
left side	left	4	
left sided	left	4	
left ventricle	left ventricular function	3	
left ventricle	lv	3	
left ventricular	lv	3	
left ventricular aneurysm	ventricular cardiac aneurysm	4	
left ventricular dysfunction	l v d	4	
left ventricular dysfunction	lvd	4	
left ventricular failure	impaired left ventricular function	5	
left ventricular failure	l v f	4	
left ventricular failure	lvf	4	
left ventricular impairment	good left ventricular function	1	
left ventricular impairment	impaired left ventricular function	5	
left ventricular impairment	impaired lv function	5	
leg	lower limb	1	
leg oedema	legs oedematous	5	
leg oedema	oedematous ankles	3	
legs oedematous	leg oedema	5	
lesion	disease	1	
lesion	diseased	1	
lft	liver function test	3	
lft	liver function tests	3	
lfts	liver function tests	3	
lh	luteinising hormone	3	
lima	left internal mammary artery	4	
little finger	finger	1	
little toe	toe	2	
liver	hepatic	3	
lmn	lower motor neuron	5	
lmn	lower motor neurone	5	
lms	left main stem	4	
ln	lymph node	4	
ln	lymph nodes	4	
loc	loss of consciousness	4	
loss consciousness	l o c	4	
loss consciousness	loc	4	
loss smell	anosmia	4	
loss smell	loss smell sense	4	
loss smell	problem with smell	2	
loss smell	problems with smell	2	
loss taste	problem with taste	2	
loss taste	problems with taste	2	
loss taste	taste disorder	2	
low	lower	5	
lower	low	5	
lower end humerus	distal humerus	1	
lower end of humerus	distal humerus	3	
lower end of radius	distal radius	3	
lower end of ulna	distal ulna	3	
lower end radius	distal radius	1	
lower end ulna	distal ulna	1	
lower leg	leg	1	
lower motor neuron	l m n	5	
lower motor neuron	lmn	5	
lower motor neurone	l m n	5	
lower motor neurone	lmn	5	
lower respiratory tract infection	l r t i	4	
lower respiratory tract infection	lrti	4	
lower segment caesarean section	l s c s	5	
lower segment caesarean section	lscs	5	
lpfb	left posterior fascicular block	4	
lrti	lower respiratory tract infection	4	
lscs	caesarean delivery	3	
lscs	lower segment caesarean section	5	
lt	left	3	
lt	right	-100	
lung	pulmonary	3	
luteinising hormone	l h	4	
luteinising hormone	lh	3	
lv	left ventricle	3	
lv	left ventricular	3	
lv	left ventricular function	3	
lv dysfunction	left ventricular impairment	3	
lv failure	impaired left ventricular function	3	
lv impaired	impaired left ventricular function	4	
lv impairment	good left ventricular function	1	
lv impairment	impaired left ventricular function	4	
lvd	impaired left ventricular function	3	
lvd	left ventricular dysfunction	4	
lvd	left ventricular impairment	3	
lvf	impaired left ventricular function	3	
lvf	left ventricular failure	4	
lvf	left ventricular function	3	
lymph node	l n	4	
lymph node	ln	4	
lymph nodes	l n	4	
lymph nodes	ln	4	
lymphocytic	lymphoid	3	
m i	acute myocardial infarction	3	
m i	myocardial infarction	4	
m v	motor vehicle	3	
m v n t a	motor vehicle non traffic accident	4	
m v t a	motor vehicle traffic accident	4	
major	minor	-100	
mal union	malunion	5	
malaena	melaena	3	
malaria tabs	malaria prophylaxis	3	
malena	malaena	2	
malig neop	cancer	3	
malig neop	malignant neoplasm	5	
malig neop	neoplasm malignant	3	
malignancy	cancer	5	
malignancy	malignant neoplasm	4	
malignancy	neoplasm malignant	3	
malignant melanoma	malignant melanoma of skin	1	
malignant neoplasm	ca	4	
malignant neoplasm	cancer	5	
malignant neoplasm	carcinoma	3	
malignant neoplasm	malig neop	5	
malignant neoplasm	malignancy	4	
malignant neoplasm	neoplasm malignant	4	
malignant neoplasm of cervix uteri	cervical cancer	5	
malunion	mal union	5	
mau	hospital	1	
maxillary sinus	sinuses	1	
maxillary sinuses	sinuses	1	
mca	middle cerebral artery	4	
measles / mumps / rubella	mmr	3	
measles mumps and rubella	mmr	4	
measles mumps rubella	mmr	3	
med a	death cert	3	
med a	death certificate	5	
medial	lateral	-100	
medical assessment unit	hospital	1	
melanoma	malignant melanoma	2	
menopausal	menopause	2	
menstrual cycle	periods	2	
mental health act	mha	3	
metastases	metastasis	5	
metastases	secondary malignant neoplasm	4	
metastasis	metastases	5	
metastasis	secondary malignant neoplasm	4	
metastatic adenocarcinoma	adenocarcinoma	1	
metastatic carcinoma	carcinoma	1	
metastatic mm	malignant melanoma	2	
metastatic neoplasm	neoplasm	1	
metatarsophalangeal	mtp	4	
mets	metastasis	3	
mg	milligram	5	
mha	mental health act	3	
mi	acute myocardial infarction	4	
mi	myocardial infarction	4	
mi acute myocardial infarction	acute myocardial infarction	3	
middle finger	finger	1	
mild	mildly	5	
mildly	mild	5	
milk exclusion	milk free diet	3	
milligram	mg	5	
milti	multi	1	
minor	major	-100	
mmr	measles mumps and rubella	4	
mmr	measles mumps rubella	3	
mmr	mmr immunisation	3	
mmr	mmr vaccination	3	
mmr immunisation	given mmr immunisation	3	
mmr vaccination	given mmr immunisation	3	
mmr vaccn	given mmr immunisation	3	
mnt	mental	3	
mod	moderate	4	
mod	moderately	4	
moderate	mod	4	
moderate	moderately impaired	3	
moderately	mod	4	
moderately impaired	moderate	3	
mothr	mother	3	
motion	stool	3	
motion	stools	3	
motions	stool	3	
motions	stools	3	
motor vehicle	mv	4	
motor vehicle non traffic accident	m v n t a	4	
motor vehicle non traffic accident	mvnta	4	
motor vehicle traffic accident	m v t a	4	
motor vehicle traffic accident	mvta	4	
mtp	metatarsophalangeal	4	
mulit	multi	2	
multi organ	multiple organ	5	
multiple organ	multi organ	5	
muscle	muscular	5	
muscular	muscle	5	
mv	motor vehicle	4	
mvnta	motor vehicle non traffic accident	4	
mvta	motor vehicle traffic accident	4	
mvta	road traffic accident	3	
myo	myocardial	2	
myo infarc	myocardial infarction	4	
myocardial infarction	m i	4	
myocardial infarction	mi	4	
myocardial infarction	myo infarc	4	
n a d	normal	5	
n e c	not elsewhere classified	4	
n i d d m	non insulin dependent diabetes mellitus	4	
n o s	not otherwise specified	4	
nad	normal	4	
nasal	nose	4	
nausea	nausea symptom	4	
nausea	nausea symptoms	4	
nausea symptom	nausea	4	
nausea symptoms	nausea	4	
ncov 2019	covid 19	3	COVID-19
nec	not elsewhere classified	4	
neck	cervical	2	
neck	cervix uteri	-100	
neck rigidity	neck stiffness	3	
necrotising	necrotizing	5	
necrotizing	necrotising	5	
negative	not detected	4	
neonat	neonate	4	
neonat	neonatorum	4	
neonate	neonat	4	
neonatorum	neonat	4	
neop	neoplasm	4	
neoplasm	neop	4	
neoplasm malignant	cancer	4	
neoplasm malignant	malignant neoplasm	4	
niddm	non insulin dependent diabetes mellitus	4	
night	overnight	4	
nits	head lice	3	
no	absent	4	
no	not	2	
no	without	4	
no left ventricular impairment	good left ventricular function	3	
no lv impairment	good left ventricular function	4	
no sinus disease	sinus nad	4	
no sinus disease	sinus normal	4	
nof	neck of femur	3	
non drinker	not drink	5	
non insulin dependent diabetes mellitus	n i d d m	4	
non insulin dependent diabetes mellitus	niddm	4	
non st elevation mi	acute non st segment elevation myocardial infarction	4	
non stemi	non st elevation myocardial infarction	3	
non union	nonunion	5	
nonproliferative	non proliferative	5	
nonstemi	acute non st segment elevation myocardial infarction	3	
nonunion	non union	5	
normal	n a d	5	
normal	nad	4	
normal bs	bowel sounds normal	1	
nos	not otherwise specified	4	
nose	nasal	4	
nose bleed	epistaxis	4	
not	absent	4	
not	no	2	
not dehydrated	well hydrated	5	
not detected	negative	4	
not diagnosed	not yet diagnosed	3	
not diagnosed	undiagnosed	3	
not drink	non drinker	5	
not eaten	lack of appetite	3	
not eating	lack of appetite	3	
not elsewhere classified	n e c	4	
not elsewhere classified	nec	4	
not otherwise specified	n o s	4	
not otherwise specified	nos	4	
not yet diagnosed	not diagnosed	3	
not yet diagnosed	undiagnosed	3	
notif	notification	5	
notification	notif	5	
novel coronavirus	covid 19	3	COVID-19
npdr	non proliferative diabetic retinopathy	4	
nstemi	acute non st segment elevation myocardial infarction	3	
o / e nad	examination normal	3	
o / e normal	examination normal	3	
o / night	night	3	
o / night	overnight	3	
o e normal	examination normal	3	
o p d	o p dept	5	
o p dept	o p d	5	
o p dept	opd	5	
o p dept	out patients	5	
o p dept	outpatients	5	
oa	osteoarthritis	2	
obj	object	4	
object	obj	4	
obstruct	obstructive	4	
obstructive	obstruct	4	
occ	occuring	4	
occluded	disease	1	
occluded	occlusion	5	
occlusion	disease	1	
occlusion	occluded	5	
occuring	occ	4	
ocd	obsessive compulsive disorder	3	
oe nad	examination normal	3	
oe normal	examination normal	3	
oedema	oedema symptom	4	
oedema	oedema symptoms	4	
oedema	swelling	1	
oedema symptom	oedema	4	
oedema symptoms	oedema	4	
oedematous ankles	leg oedema	3	
oedematous legs	ankle oedema	3	
oesoph	oesophageal	3	
oesoph	oesophagus	3	
oesophageal	oesphagus	5	
oesphagus	oesophageal	5	
of the heart	cardiac	3	
of the heart	coronary	3	
omental	omentum	3	
omentum	omental	3	
on echo	echocardiogram shows	3	
one	1	5	
one	single	5	
one diseased vessel	single coronary vessel disease	3	
one vessel disease	single coronary vessel disease	3	
opd	o p dept	5	
opd	out pat	5	
opd	outpatient	5	
opd	outpatients	5	
open	opn	3	
ophth	opthalmia	4	
opn	open	3	
opthalmia	ophth	4	
ortho	orthopaedic	3	
ortho	orthopaedic clinic	3	
ortho	orthopaedic surgeon	3	
osteo arthritis	osteoarthritis	5	
osteoarthritis	osteo arthritis	5	
osteoporosis	osteoporotic	5	
osteoporotic	osteoporosis	5	
oth	other	4	
other	oth	4	
out hosp	recently in hospital	1	
out hospital	discharged from hospital	1	
out hospital	recently in hospital	1	
out of hosp	recently in hospital	2	
out of hospital	discharged from hospital	2	
out of hospital	recently in hospital	2	
out pat	opd	5	
out pat	outpatient	5	
out pat	outpatients	5	
out patients	o p dept	5	
outpatient	opd	5	
outpatient	out pat	5	
outpatients	clinic	5	
outpatients	o p dept	5	
outpatients	opd	5	
outpatients	out pat	5	
ovarian	ovary	3	
ovate	ovale	1	
overdose	overdose of drug	2	
overnight	night	4	
p d a	posterior descending artery	4	
p i d	pelvic inflammatory disease	4	
p n	postnatal	4	
p n d	paroxysmal nocturnal dyspnoea	4	
p r	p r	4	
p r	pr	4	
pain	pain symptom	4	
pain	pain symptoms	4	
pain	painful	5	
pain	pains	5	
pain symptom	pain	4	
pain symptoms	pain	4	
painful	pain	5	
pains	pain	5	
palm	hand	1	
palpitation	palpitations	4	
palpitations	palpitation	4	
pancreas	pancreatic	4	
pancreatic	pancreas	4	
para	parity	5	
paracetamol	drug	1	
parity	para	5	
parkinsons	parkinson disease	3	
paroxysmal nocturnal dyspnoea	p n d	4	
pca	posterior cerebral artery	4	
pda	posterior descending artery	4	
pe	pulmonary embolus	3	
pedal cycle	bicycle	5	
pediculus capitis	head lice	3	
pediculus corporis	body lice	3	
pediculus pubis	pubic lice	3	
pelvic	pelvis	5	
pelvic inflammatory disease	p i d	4	
pelvis	pelvic	5	
perf	perforated	4	
perforat	perforation	5	
perforated	perf	4	
perforation	perforat	5	
perimenopausal	menopausal	1	
perimenopausal	menopause	1	
perineal tear	perineal tear during delivery	1	
period cycle	period	3	
periods	menstrual cycle	2	
periods cycle	periods	3	
phalanges	phalanx	3	
phalanx	phalanges	3	
phlegm	sputum	3	
phthirus pubis	pubic lice	3	
physio	physiotherapist	3	
physiotherapist	physiotherapy	3	
physiotherapy	physiotherapist	3	
pigmented mole	pigmented naevus	3	
pip	proximal interphalangeal	5	
pm report	pm	3	
pm report	post mortem	3	
pm report	post mortem report	3	
polio	poliomyelitis	5	
poliomyelitis	polio	5	
poor	failure	2	
poor	impaired	3	
poor	severely impaired	3	
poor appetite	lack of appetite	3	
poor ef	impaired left ventricular function	3	
poor ejection fraction	impaired left ventricular function	3	
poor lv	impaired left ventricle	3	
poor lv	impaired left ventricular	3	
poor lv	impaired left ventricular function	3	
poor lv function	impaired left ventricular function	3	
position	posn	5	
positive	detected	4	
posn	position	5	
post	posterior	5	
post mortem	pm	3	
post nasal	postnasal	5	
posterior	post	5	
posterior descending artery	p d a	4	
posterior descending artery	pda	4	
postnasal	post nasal	5	
postnatal	p n	4	
postnatal	postpartum	5	
postpartum	postnatal	5	
pr	p r	4	
preg	pregnant	4	
pregnant	preg	4	
present	positive	2	
preserved	good	5	
previous	history of	3	
prim	primary	2	
prob	problem	4	
problem	prob	4	
problem	disorder	2	
proprioception	joint position sense	5	
proprioception	joint posn sense	5	
prostate	prostatic	4	
prostatic	prostate	4	
proximal	distal	-100	
proximal humerus	upper end of humerus	3	
proximal interphalangeal	pip	5	
proximal radius	upper end of radius	3	
proximal ulna	upper end of ulna	3	
psoriatic	psoriasis	2	
psych	psychiatric	5	
psychiatric	psych	5	
psychiatrist	psychiatry	5	
psychiatry	psychiatrist	5	
pubic lice	crabs	3	
pubic lice	pediculus pubis	3	
pubic lice	phthirus pubis	3	
publ	public	5	
public	publ	5	
pul	pulmonary	1	
pulm	pulmonary	2	
pulmonary	lung	3	
pv	vaginal	3	
pv bleeding	vaginal haemorrhage	3	
pvd	peripheral vascular disease	2	
pyrexia	fever	5	
q r s	q r s	4	
q r s	qrs	4	
qrs	q r s	4	
r	right	3	
r b b b	right bundle branch block	4	
r c a	right coronary artery	4	
r d s	respiratory distress syndrome	5	
r i f	right iliac fossa	5	
r i n d	reversible ischaemic neuro deficit	5	
r i n d	reversible ischaemic neurological deficit	5	
r t a	road traffic accident	4	
r t a	rta	5	
rad	radius	3	
radial	radius	5	
radius	radial	5	
rbbb	right bbb	4	
rbbb	right bundle branch block	4	
rca	right coronary artery	4	
rds	respiratory distress syndrome	5	
rdw	red blood cell distribution	4	
rdw	red cell distribution width	4	
receiv	receive	5	
receiv	received	5	
receive	receiv	5	
received	receiv	5	
recent admission	recently in hospital	2	
recent hosp	recently in hospital	1	
recent hospital	recently in hospital	1	
recent hospitalisation	hospital inpatient	3	By R code
recent hospitalisation	recently in hospital	2	
recent hospitalization	recently in hospital	2	
recent in hosp	recently in hospital	2	
recent in hospital	recently in hospital	2	
recently hospitalised	hospital inpatient	3	By R code
recently in hospital	hospital inpatient	3	By R code
rectal	rectally	4	
rectal	rectum	5	
rectally	rectal	4	
rectum	rectal	5	
red blood cell distribution	rdw	4	
red cell distribution width	rdw	4	
refer	referral	5	
refer	referred	4	
referral	refer	5	
referral	referred	5	
referred	refer	4	
referred	referral	5	
referred pain	pain	2	
reffered	referred	3	
renal	kidney	4	
renal or ureteric	renal tract	3	
renal tract	kidney and ureter	3	
renal tract	kidney or ureter	3	
renal tract	renal or ureteric	3	
repat	repeat	1	
reported	referred	2	
resid inst	residential institution	5	
residential institution	resid inst	5	
resp fail	respiratory failure	3	
respiratory	chest	2	
respiratory	resp system	3	
respiratory distress syndrome	r d s	5	
respiratory distress syndrome	rds	5	
restest	retest	1	
restless legs	restless legs syndrome	2	
resulting from	due to	5	
resulting in	causing	5	
resulting in	complicated by	5	
reversible ischaemic neuro deficit	r i n d	5	
reversible ischaemic neuro deficit	rind	5	
reversible ischaemic neurological deficit	r i n d	5	
reversible ischaemic neurological deficit	rind	5	
review	reviewed	5	
reviewed	review	5	
rheum	rheumatic	2	
rheum	rheumatism	2	
rheum	rheumatoid	2	
rif	right iliac fossa	2	
right	left	-100	
right	lt	-100	
right	r	3	
right	right side	4	
right	right sided	4	
right	rt	3	
right bbb	rbbb	4	
right bundle branch block	r b b b	4	
right bundle branch block	rbbb	4	
right coronary artery	r c a	4	
right coronary artery	rca	4	
right coronary artery disease	right coronary artery stenosis	5	
right coronary artery disease	right coronary stenosis	5	
right coronary artery stenosis	right coronary artery disease	5	
right coronary stenosis	right coronary artery disease	5	
right iliac fossa	r i f	5	
right iliac fossa	rif	2	
right side	right	4	
right sided	right	4	
rigor	rigor symptom	4	
rigor	rigor symptoms	4	
rigor symptom	rigor	4	
rigor symptoms	rigor	4	
rind	reversible ischaemic neuro deficit	5	
rind	reversible ischaemic neurological deficit	5	
ring finger	finger	1	
road traffic accident	mvta	3	
road traffic accident	r t a	4	
road traffic accident	rta	4	
rsi	repetitive strain injury	2	
rt	left	-100	
rt	right	3	
rta	r t a	5	
rta	road traffic accident	4	
running	strenuous exertion	2	
rupture	injury	2	
rupture	ruptured	4	
ruptured	injured	2	
ruptured	injury	2	
ruptured	rupture	4	
ruq	right upper quadrant	2	
s c c	squamous cell carcinoma	4	
s i d s	sudden infant death syndrome	4	
s l e	systemic lupus erythematosus	5	
s l r	straight leg raise	5	
s l r	straight leg raising	5	
s o b	short of breath	5	
s r	sinus rhythm	3	
s t	s t	5	
s t	st	5	
s v c o	superior vena cava obstruction	5	
sad	seasonal affective disorder	2	
sah	subarachnoid haemorrhage	3	
sars cov 2	covid 19	3	COVID-19
sbe	subacute bacterial endocarditis	3	
scap	scapula	3	
scc	squamous cell carcinoma	4	
scid	severe combined immunodeficiency	4	
sd 17	cause of death clarif	3	
sd 18	cause of death clarif	3	
seasonal affective disorder	sad	2	
second	2 nd	5	
second lumbar	l 2	5	
second toe	toe	2	
secondaries	secondary deposits	5	
secondaries	secondary malignant neoplasm	4	
secondary	2 ndry	4	
secondary deposits	secondaries	5	
secondary malignant neoplasm	metastases	4	
secondary malignant neoplasm	metastasis	4	
secondary malignant neoplasm	secondaries	4	
self discharge	patient self discharge	2	
self discharged	patient self discharge	2	
self harm	self inflicted injury	5	
self inflicted injury	self harm	5	
send a e	refer to hospital casualty	3	
send accident emergency	refer to hospital casualty	3	
sent a e	refer to hospital casualty	3	
sent accident emergency	refer to hospital casualty	3	
sent home	discharged from inpatient care	2	
sent hospital	refer to hospital	3	
sent to a and e	refer to hospital casualty	3	
sent to a e	refer to hospital	3	
sent to a e	refer to hospital casualty	3	
sent to accident and emergency	refer to hospital casualty	3	
sent to accident emergency	refer to hospital casualty	3	
sent to hospital	refer to hospital	3	
sev	severe	4	
sev	severely	4	
seventh cervical	c 7	5	
severe	sev	4	
severe	severely	5	
severe acute respiratory syndrome coronavirus 2	covid 19	3	COVID-19
severe 3 vessel	3 vessel	2	
severe 3 vessel	three vessel	2	
severe combined immunodeficiency	scid	4	
severe stenosis	stenosis	4	
severe stenosis	tight stenosis	4	
severe three vessel	three vessel	2	
severely	sev	4	
severely	severe	5	
severely impaired	very poor	5	
short of breath	dyspnoea	5	
short of breath	s o b	5	
short of breath	shortness of breath	5	
short of breath	sob	5	
shortness of breath	short of breath	5	
shoulder	shoulder joint	5	
shoulder	upper limb	1	
shoulder joint	shoulder	5	
side	sided	5	
side effect	adverse reaction to	2	
side effect of	adverse reaction to	2	
side effects	adverse reaction to	2	
side effects of	adverse reaction to	2	
sided	side	5	
sids	sudden infant death syndrome	3	
single	1	1	
single	one	1	
single vessel disease	single coronary vessel disease	3	
sinus nad	no sinus disease	4	
sinus normal	no sinus disease	4	
sinus trouble	sinus problem	3	
sixth cervical	c 6	5	
sle	systemic lupus erythematosus	5	
slr	straight leg raise	5	
slr	straight leg raising	5	
smith	smiths	5	
smiths	smith	5	
smoked	smoked tobacco	3	
smoker	smokes	5	
smokes	smoker	5	
sob	breathless	4	
sob	breathlessness	4	
sob	short of breath	5	
social	socially	4	
socially	social	4	
soft bs	bowel sounds	1	
spasm	spasms	5	
spasms	spasm	5	
spinal	spiral	-100	
spiral	spinal	-100	
spleen	splenic	3	
splenic	spleen	3	
splinter	splinters	4	
splinters	splinter	4	
sprain	sprained	5	
sprained	sprain	5	
sputum	phlegm	3	
squamous cell carcinoma	s c c	4	
squamous cell carcinoma	scc	4	
sr	sinus rhythm	3	
st	s t	5	
st elevation	st segment elevation	4	
st elevation mi	acute st segment elevation myocardial infarction	4	
st segment elevation	st elevation	4	
staph	staphylococcus	5	
staphylococcus	staph	5	
std	sexually transmitted disease	2	
stemi	acute st segment elevation myocardial infarction	4	
stenosis	disease	1	
stenosis	severe stenosis	2	
stenosis	stenosed	5	
stenosis	tight stenosis	2	
stidor	stridor	3	
stiff	stiffness	3	
stiffness	stiff	3	
stomach	gastric	3	
stone	calculus	3	
stones	calculi	3	
stones	calculus	2	
stool	motion	3	
stool	motions	3	
stools	motion	3	
stools	motions	3	
str faecalis	strep faecalis	5	
str faecalis	streptococcus faecalis	5	
straight leg raise	s l r	5	
straight leg raise	slr	5	
straight leg raising	s l r	5	
straight leg raising	slr	5	
stre faecalis	strep faecalis	5	
strep faecalis	str faecalis	5	
strep faecalis	stre faecalis	5	
strep faecalis	streptococcus faecalis	5	
streptococcus faecalis	str faecalis	5	
streptococcus faecalis	strep faecalis	5	
stroke	c v a	4	
stroke	cva	4	
sub mental	submental	5	
subacute bacterial endocarditis	sbe	3	
submental	sub mental	5	
sudden infant death syndrome	s i d s	4	
sudden infant death syndrome	sids	3	
sugar	glucose	3	
superior vena cava obstruction	s v c o	5	
superior vena cava obstruction	svco	5	
supra ventricular	supraventricular	5	
supraclav	supraclavicular	5	
supraclavicular	supraclav	5	
supraventricular	supra ventricular	5	
surgeon	surgery	3	
surgery	surgeon	3	
surgical clinic	general surgery	5	
svco	superior vena cava obstruction	5	
swallow ok	no problem swallowing	3	
swallow satisfactory	no problem swallowing	3	
swallowing ok	no problem swallowing	3	
swallowing satisfactory	no problem swallowing	3	
swelling	oedema	1	
swelling	swelling symptom	4	
swelling	swelling symptoms	4	
swelling	swollen	4	
swelling symptom	swelling	4	
swelling symptoms	swelling	4	
swollen	swelling	4	
symptoms	discomfort	2	
syndrome	disorder	1	
systemic lupus erythematosus	s l e	5	
systemic lupus erythematosus	sle	5	
t 11 / 12	thoracic	3	
t 11 t 12	thoracic	3	
t 12	twelfth thoracic	5	
t 12 / l 1	lumbar	2	
t 12 / l 1	thoracic	2	
t 12 l 1	lumbar	2	
t 12 l 1	thoracic	2	
t a t t	tired all the time	5	
t b	tuberculosis	5	
t i a	transient ischaemic attack	4	
t i b c	total iron binding capacity	5	
t s h	thyroid stimulating hormone	4	
tablets	tabs	4	
tabs	tablets	4	
taken hospital	referred hospital	3	
taken to a and e	refer to a and e department	3	
taken to hospital	referred to hospital	3	
talar	talus	5	
talus	talar	5	
tatt	tired all the time	5	
tb	tuberculosis	5	
tear	derangement	2	
tender	tenderness	5	
tender over	tender	3	
tender over	tenderness	3	
tenderness	tender	5	
thigh	leg	1	
thigh	lower limb	1	
third	3 rd	5	
third cervical	c 3	5	
third lumbar	l 3	5	
third toe	toe	2	
thoracic aneurysm	thoracic aortic aneurysm	2	
three	3	5	
three	triple	5	
three diseased vessels	triple coronary vessel disease	5	
three vessel coronary disease	triple vessel disease of the heart	5	
three vessel disease	triple coronary vessel disease	3	
three vessel disease	triple vessel disease	4	
three vessel disease	triple vessel disease of the heart	2	
thumb	hand	1	
thyr	thyroid	2	
thyroid deficiency	hypothyroidism	5	
thyroid stimulating hormone	t s h	4	
thyroid stimulating hormone	tsh	4	
thyrotoxicosis	hyperthyroidism	5	
thyrotoxicosis	thyroid dysfunction	3	
tia	transient ischaemic attack	4	
tib	tibial	5	
tibc	total iron binding capacity	5	
tibia	tibial	5	
tibial	tib	5	
tibial	tibia	5	
tight stenosis	severe stenosis	4	
tight stenosis	stenosis	5	
tired all the time	t a t t	5	
tired all the time	tatt	5	
toe	finger	-100	
toe	foot	1	
toler	tolerance	4	
toleran	tolerance	4	
tolerance	toler	4	
tolerance	toleran	4	
tooth	dental	3	
total iron binding capacity	t i b c	5	
total iron binding capacity	tibc	5	
tourette	gilles de la tourette	3	
tourette	gilles de la tourettes	3	
transient ischaemic attack	t i a	4	
transient ischaemic attack	tia	4	
trapezious	trapezius	3	
traum	trauma	4	
traum	traumatic	4	
trauma	traum	4	
trauma	traumatic	4	
trauma self referral	casualty self referral	3	
traumatic	traum	4	
traumatic	trauma	4	
triple	3	1	
triple	three	1	
triple coronary vessel disease	three diseased vessels	5	
triple vessel coronary disease	triple vessel disease of the heart	5	
triple vessel disease	three vessel disease	4	
triple vessel disease of the heart	3 vessel coronary disease	5	
triple vessel disease of the heart	coronary artery disease three vessel	5	
triple vessel disease of the heart	three vessel coronary disease	5	
triple vessel disease of the heart	triple vessel coronary disease	5	
tsh	thyroid stimulating hormone	4	
tuberculosis	t b	5	
tuberculosis	tb	5	
tuberculosis vaccination	bcg	5	
twelfth thoracic	t 12	5	
two	2	5	
two	double	5	
two vessel disease	double coronary vessel disease	3	
type 1 diabetes	type 1 diabetes mellitus	3	
type 1 diabetes	type i diabetes	5	
type 1 respiratory failure	respiratory failure	2	
type 2	type ii	5	
type 2 diabetes	type ii diabetes	5	
type 2 respiratory failure	respiratory failure	2	
type i diabetes	type 1 diabetes	5	
type i diabetes	type 1 diabetes mellitus	3	
type i diabetes	type i diabetes mellitus	3	
type ii	type 2	5	
type ii diabetes	type 2 diabetes	5	
type ii diabetes	type 2 diabetes mellitus	3	
type ii diabetes	type ii diabetes mellitus	3	
u m n	upper motor neuron	5	
u m n	upper motor neurone	5	
u r t i	upper respiratory tract infection	4	
u t i	urinary tract infection	5	
ulna	ulnar	5	
ulnar	ulna	5	
umn	upper motor neuron	5	
umn	upper motor neurone	5	
uncertain	unknown	4	
